"TABLE_NAME","COLUMN_NAME","TABELA_REFERENCIADA"
ACIDENTE_TRANSITO,ID_MODELO_FK,TB_VEICULO_MODELO
AISP,COD_RISP,RISP
BAIRRO,COD_CIDADE,CIDADE
BAIRRO,COD_AISP,AISP
CONTROLE_MORTE_COMP,ID_FK_CTM,CONTROLE_MORTE_COORD
CTL_ACIDENTE_TRANSITO,COD_PROFISSAO_AUTOR,TIP_PROFISSOES
CTL_ACIDENTE_TRANSITO,COD_BAIRRO,BAIRRO
CTL_ACIDENTE_TRANSITO,COD_CONDICAO_VITIMA,TIP_CONDICAO_VITIMA
CTL_ACIDENTE_TRANSITO,COD_CAUSA,TIP_CAUSA_ACIDENTE
CTL_ACIDENTE_TRANSITO,COD_TIPO_ACIDENTE,TIP_ACIDENTE
CTL_ACIDENTE_TRANSITO,COD_VEICULO,TIP_VEICULOS
CTL_ACIDENTE_TRANSITO,COD_ESPECIFICACAO,TIP_ESPECIFICACAO_PC
CTL_ACIDENTE_TRANSITO,COD_CIDADE,CIDADE
CTL_ACIDENTE_TRANSITO,COD_ESTADOCIVIL,TIP_ESTADOCIVIL
CTL_ACIDENTE_TRANSITO,COD_TIPCORPELE,TIP_CORPELE
CTL_ACIDENTE_TRANSITO,COD_ESCOLARIDADE_VITIMA,TIP_ESCOLARIDADE
CTL_ACIDENTE_TRANSITO,COD_OBSTACULO,TIP_OBSTACULO_ACIDENTE
CTL_ACIDENTE_TRANSITO,COD_ORGAO_BO,TIP_ORGAO_BO
CTL_ACIDENTE_TRANSITO,COD_PROFISSAO_VITIMA,TIP_PROFISSOES
CTL_ACIDENTE_TRANSITO,COD_ESCOLARIDADE_AUTOR,TIP_ESCOLARIDADE
CTL_MORTE_VIOLENTA,COD_TIPPROFISSAO,TIP_PROFISSOES
CTL_MORTE_VIOLENTA,COD_NATUREZA,TIP_NATUREZA
CTL_MORTE_VIOLENTA,COD_MOTIVACAO,TIP_MOTIVACAO
CTL_MORTE_VIOLENTA,COD_TIPMORTE,TIP_MORTE
CTL_MORTE_VIOLENTA,COD_MODUSOPERANDI,TIP_MODUSOPERANDI
CTL_MORTE_VIOLENTA,COD_MATERIAL,TIP_MAT_INSTRUMENTO
CTL_MORTE_VIOLENTA,COD_TIPLOCAL,TIP_LOCAL
CTL_MORTE_VIOLENTA,COD_TIPHOMICIDIO,TIP_HOMICIDIO
CTL_MORTE_VIOLENTA,COD_GRPNATUREZA,TIP_GRP_NATUREZA
CTL_MORTE_VIOLENTA,COD_GRPMOTIVACAO,TIP_GRP_MOTIVACAO
CTL_MORTE_VIOLENTA,COD_TIPEVASAO,TIP_EVASAO
CTL_MORTE_VIOLENTA,COD_ESTADOCIVIL,TIP_ESTADOCIVIL
CTL_MORTE_VIOLENTA,COD_TIPESCOLARIDADE,TIP_ESCOLARIDADE
CTL_MORTE_VIOLENTA,COD_TIPCORPELE,TIP_CORPELE
CTL_MORTE_VIOLENTA,COD_TIPAFINIDADE,TIP_AFINIDADE
CTL_MORTE_VIOLENTA,COD_CIDADE,CIDADE
CTL_MORTE_VIOLENTA,COD_BAIRRO,BAIRRO
CTL_MORTE_VIOLENTA,COD_VULNERAVEIS,TIP_VULNERAVEIS
CTL_MORTE_VIOLENTA,COD_TIPSITUACAOAUTOR,TIP_SITUACAO_AUTOR
DDI_PRODUCAO,COD_DENUNCIA,DDI
ESTABELECIMENTO,ID_AMBIENTE_FK,AMBIENTE
PERMISSAO_PERFIL,PERFIL,PERFIL
PERMISSAO_PERFIL,PERMISSAO,PERMISSOES
PERMISSAO_USUARIO,USUARIO,USUARIOS_SISTEMAS
PERMISSAO_USUARIO,PERMISSAO,PERMISSOES
PERMISSION_ROLE,PERMISSION_ID,PERMISSIONS
PERMISSION_ROLE,ROLE_ID,ROLES
PERMISSOES,PERMISSAO,PERFIL
ROLE_USER,USER_ID,USUARIOS_SISTEMAS
ROLE_USER,ROLE_ID,ROLES
SOLICITA_CADASTRO,ID_SISTEMA_FK,NEAC_SISTEMAS
TB_REL_PPE_ARMA,ID_TB_ARMA,TB_PPE_ARMA
TB_REL_PPE_ARMA,ID_TB_PPE,TB_PPE
TB_REL_PPE_DROGA,ID_TB_PPE,TB_PPE
TB_REL_PPE_DROGA,ID_TB_DROGA,TB_PPE_DROGA
TB_VEICULO_MODELO,ID_MARCA,TB_VEICULO_MARCA
TIP_MAT_INSTRUMENTO,COD_TIPMORTE,TIP_MORTE
TIP_MOTIVACAO,COD_GRPMOTIVACAO,TIP_GRP_MOTIVACAO
TIP_NATUREZA,COD_GRPNATUREZA,TIP_GRP_NATUREZA
USUARIOS_SISTEMAS,FK_PERFIL,PERFIL
USUARIOS_SISTEMAS_BKP_06032023,FK_PERFIL,PERFIL
